date;state_id;state_name;age_group;gender;vaccine;vaccination;vaccinations_administered_cumulative
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;AstraZeneca;1;2
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;AstraZeneca;2;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;AstraZeneca;3;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;AstraZeneca;4+;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;BioNTechPfizer;1;567
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;BioNTechPfizer;2;473
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;BioNTechPfizer;3;87
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;BioNTechPfizer;4+;2
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Janssen;1;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Janssen;2;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Janssen;3;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Janssen;4+;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Moderna;1;1
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Moderna;2;1
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Moderna;3;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Moderna;4+;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Novavax;1;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Novavax;2;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Novavax;3;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Novavax;4+;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Sanofi Pasteur;1;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Sanofi Pasteur;2;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Sanofi Pasteur;3;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Sanofi Pasteur;4+;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Valneva;1;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Valneva;2;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Valneva;3;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Female;Valneva;4+;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Male;AstraZeneca;1;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Male;AstraZeneca;2;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Male;AstraZeneca;3;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Male;AstraZeneca;4+;0
2023-05-17T23:59:59+02:00;0;NoState;00-11;Male;BioNTechPfizer;1;592
